,,140876
waters,86
wearing,86
whistle,86
wounded,86
dresses,85
ground.,85
ice,85
job.,85
lamp,85
learning,85
mentioned,85
mistake,85
muttered,85
nodded.,85
paper.,85
range,85
shade,85
sheep,85
smith,85
strangely,85
tomorrow.,85
tucked,85
van,85
vic,85
absolutely,84
arose,84
bascom,84
becoming,84
bench,84
blind,84
bore,84
brothers,84
buggy,84
christine,84
chuckled,84
could.,84
dirt,84
ear,84
fireplace,84
firmly,84
gesture,84
guests,84
handle,84
knocked,84
lead,84
newspaper,84
patient,84
previous,84
quarter,84
roads,84
silas,84
starting,84
think.,84
times.,84
trees.,84
yo,84
—a,84
along.,83
another.,83
b.,83
badly,83
beloved,83
charlie,83
cheeks.,83
climb,83
fastened,83
frame,83
garden.,83
handkerchief,83
heap,83
hunting,83
invitation,83
lumber,83
mules,83
paint,83
paying,83
prince,83
sisters,83
slope,83
spencer,83
stumbled,83
trouble.,83
arc,82
awfully,82
brain,82
crane,82
decide,82
decision,82
dim,82
equal,82
faded,82
leaped,82
midnight,82
movement,82
notes,82
observed,82
office.,82
others.,82
pail,82
possible.,82
problem,82
pulling,82
saddle,82
stratton,82
trent,82
urged,82
wade,82
were,82
with.,82
anson,81
carl,81
closely,81
down,81
ees,81
everywhere,81
grace,81
helpless,81
honey,81
hoping,81
male,81
mama,81
meanwhile,81
old-fashioned,81
platform,81
polly,81
railroad,81
removed,81
searching,81
ship,81
straw,81
struggle,81
tense,81
turkey,81
'i,80
carriage,80
continued.,80
cooking,80
favorite,80
gregory,80
hens,80
information,80
join,80
little.,80
loves,80
passage,80
pasture,80
queen,80
questioned,80
raising,80
reminded,80
shed,80
spring.,80
stanley,80
stuck,80
swing,80
tossed,80
truck,80
alive,79
anyway.,79
apron,79
artist,79
bless,79
boyish,79
card,79
comin,79
cutting,79
loneliness,79
major,79
material,79
mccorkle,79
mounted,79
object,79
ready.,79
scot,79
sees,79
selma,79
shake,79
snapped,79
son.,79
supply,79
therefore,79
thread,79
through,79
tore,79
vote,79
warning,79
allow,78
around.,78
aware,78
awhile,78
block,78
blow,78
bowed,78
burden,78
cherry,78
choked,78
disappointed,78
envelope,78
escape,78
falls,78
feelings,78
fishing,78
furniture,78
harbor,78
indian,78
joan,78
labor,78
larger,78
neat,78
p.,78
package,78
phil,78
rang,78
rows,78
rutherford,78
sale,78
scott,78
skin,78
strike,78
superintendent,78
tale,78
tubby,78
wuz,78
yen,78
yourself.,78
aye,77
bloom,77
brush,77
cash,77
claim,77
content,77
cora,77
dat,77
dreaming,77
enjoyed,77
families,77
finds,77
fourth,77
generous,77
glow,77
measure,77
pigs,77
police,77
purple,77
schoolhouse,77
stiff,77
struggling,77
sugar,77
sympathy,77
task,77
widow,77
12,76
aid,76
berry,76
bride,76
ceased,76
court,76
crowded,76
deserted,76
each,76
fashion,76
figures,76
folk,76
johnny,76
judith,76
library,76
longed,76
magic,76
miller,76
opinion,76
pantry,76
park,76
peterina,76
plains,76
shame,76
size,76
stir,76
stretch,76
sweeping,76
ted,76
throat.,76
using,76
wake,76
wholly,76
addressed,75
adventure,75
afterward,75
awake,75
bother,75
chosen,75
creature,75
glorious,75
happy.,75
hastened,75
husband.,75
jerked,75
joyous,75
oak,75
old.,75
past.,75
pine,75
plate,75
poverty,75
recalled,75
resting,75
san,75
spoke.,75
street.,75
tramp,75
wheels,75
5,74
any,74
approached,74
begged,74
boxes,74
hopes,74
knew.,74
lies,74
lucky,74
me,74
mona,74
occasion,74
patted,74
planted,74
quality,74
remark,74
rent,74
reply.,74
scene,74
antek,73
barton,73
bell,73
bow,73
brilliant,73
clark,73
concerned,73
counted,73
deck,73
different.,73
direct,73
effect,73
freedom,73
glimpse,73
greatest,73
guilty,73
ham,73
invited,73
j.,73
legrand,73
meals,73
minnie,73
niece,73
pen,73
possession,73
proceeded,73
proudly,73
rear,73
rocks,73
roll,73
satisfaction,73
seldom,73
slid,73
smell,73
successful,73
tired.,73
value,73
waving,73
—i,73
**,72
ancient,72
animals,72
calmly,72
clasped,72
decent,72
devil,72
dusk,72
forehead,72
goodness,72
history,72
knife,72
lassie,72
madame,72
mud,72
occurred,72
parts,72
pioneer,72
poultry,72
poured,72
preparing,72
quit,72
reality,72
regarding,72
replied.,72
risk,72
rolling,72
scared,72
shape,72
sue,72
taste,72
thankful,72
vacation,72
western,72
wing,72
address,71
amused,71
andy,71
attitude,71
byron,71
catching,71
cheap,71
closing,71
cloud,71
during,71
enemy,71
evans,71
fierce,71
happily,71
have.,71
hill.,71
hint,71
impulse,71
jake,71
kari,71
latter,71
losing,71
married.,71
mason,71
mass,71
occasionally,71
saving,71
selling,71
seth,71
sweep,71
to-day,71
under,71
acquainted,70
ann.,70
attend,70
bay,70
berries,70
both,70
charley,70
childhood,70
comfortably,70
expressed,70
