filename,tokencount,nercount,names,freq
fe7f60669ba9d4efc2ee5a3716bf6e62.txt,2348,12,"['Iowa', 'Carl', 'HUSBAND', 'Inelegant', 'Mother', 'New York', 'Norway', 'Old Rip', 'Women']","[4, 1, 1, 1, 1, 1, 1, 1, 1]"
047548c6bbbeca8f096f58ac751c871a.txt,1855,47,"['Colin', 'Harbor', 'Storm', 'Aunt Abbie Duck', 'Colin French', 'Knut', 'Again Colin', 'Arne', 'Aunt Abbie', 'Autumn', 'Autumn Sings By Jean Leathers Phillips', 'Bowdoin', 'Community', 'Coombs', 'Gunhild', 'Hillmens Gold', 'Like', 'Maine', 'Nate Pendleton', 'Pendleton', 'Penobscot', 'Peter', 'Pikesville', 'Svend', 'Trap']","[9, 7, 6, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
b63dbdef9b3d7eeae0dda6da308fad61.txt,2960,75,"['Lesley', 'Graham', 'Barry', 'Susan', 'Dora', 'Las Ombras', 'Aunt Tabitha', 'Bob', 'Florida', 'Miss Brooke', 'Mr. Graham', 'Orange Grove', 'Parker', 'Bob Clark', 'Bobbins', 'Boo Ctai', 'Brooke', 'Clark', 'Cuban', 'Destiny', 'Divine', 'Don Parker', 'Donald', 'Donald Graham Parker', 'Dora Ward', 'Illness', 'Jared Parker', 'Jud Warner', 'LENORA', 'Las', 'Lesley Brooke', 'Lesley repUed', 'Miss', 'Miss Dora', 'Paradise', 'Uncle', 'Uncle Jared', 'Warner', 'conslnV', 'hurrlSuv', 'omgefwM Bob', 'uuiUng']","[9, 6, 5, 5, 4, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5089ab1d6bd908334f292451ed7bd65f.txt,3207,69,"['Becky', 'Alicia', 'Beck', 'Jim', 'Alicia Rideout', 'Carmen Cumnock', 'Carmen', 'John', 'Mary Darling', 'ALICIA', 'Birds', 'Built', 'Catl', 'College', 'Cra5', 'DONNELL', 'Girls', 'Hurry', 'IlLfy', 'Jean', 'Jean Hutchinson', 'Jim ANN', 'LTON', 'Mary Darling Did', 'Miss Rebecca Sheridan', 'Mr.', 'Nature']","[16, 13, 5, 5, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8d834f5a02abe82a8e7a627073fa3210.txt,4726,116,"['Anne', 'Hugh', 'Lord', 'Mark', 'Mother', 'Valley', 'Bill', 'China', 'For', 'India', 'Wisconsin', 'Adolph', 'Africa', 'Annebach', 'Mary', 'New', 'Parkes', 'Sparta', 'Utica', 'Alzina Roberts', 'America', 'Bill Taylor', 'Blue Ribbon', 'Charlie', 'Chicago', 'Christmas', 'Father', 'Galesville', 'Galesville College', 'God', 'Grandpa', 'Grange', 'Grangers', 'Greenland', 'Heinemann', 'Hugh Price', 'Humphries', 'Indiana', 'Iowa', 'Ixonia', 'Kickapoo', 'LaCrosse', 'Lake Crystal', 'Lemonweir', 'Lloyds', 'Long', 'Lord God', 'Loud', 'Maggie', 'Mary Lloyd', 'Master', 'Matthew', 'Milwaukee', 'Miss Hawley', 'Old', 'Old Country', 'Ole Hanson', 'Pisgah', 'Sawyer', 'Singer Jones', 'Still', 'Tommy', 'Uneasy', 'VfOW', 'Viroqua Grange', 'Welsh', 'West', 'Wild', 'York']","[14, 5, 4, 4, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5dba74e5597d17e6573b4487ce5ad332.txt,1334,45,"['Christmas', 'Miss Martha', 'Allen', 'Doris', 'Allen Chambers', 'John', 'Love', 'Mother Allenby', 'Blind Man', 'CONTINTJEn', 'Christ', 'Christ Child', 'Christmas Angels Meddle In', 'Christmases', 'Gladsome', 'Gladsomers', 'Lockot', 'Marsha', 'Old', 'Old Earth', 'Old Reliable', 'Pete', 'Phillip Brooks', 'Yule Log']","[6, 6, 4, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
a509385f03f629c3ba712e73af8778d0.txt,1845,35,"['Optimist', 'Europe', 'Lizzie', 'American', 'Cabin', 'Ted', 'Wilson', 'Aurora', 'Chicago', 'Dore', 'England', 'English', 'Fatherland', 'German', 'Great Plains', 'Jennie Thompkins', 'Michael Angelo', 'Moon', 'Nesterville', 'Night', 'North Star', 'Serbia', 'Uncle', 'Wildwinds']","[4, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6f1518343705a6a6460b21057769756c.txt,2337,35,"['Elizabeth', 'David', 'Bettina', 'Mummy', 'ALL', 'ARM OF', 'Ainsley', 'Betty', 'COURSE', 'David Ainsley', 'Elizabeth Ainsley', 'Happiness', 'MANTHE1', 'Shadows']","[10, 8, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2d355c549274e57952d65eb1fbd009d5.txt,1103,13,"['John', 'Marianna', 'Plowboy', 'Pollard', 'John Plow', 'Kyrie', 'Martha', 'Pollards', 'School Of The Smile']","[2, 2, 2, 2, 1, 1, 1, 1, 1]"
fe664c980510043f51ac0e81442f173e.txt,3182,124,"['Lucinda', 'Aunt Emily', 'Uncle Earle', 'Tempest', 'Aunt', 'Mr. Shakespeare', 'Johanna', 'LUCINDA', 'Miss Nettie', 'Patrolman', 'Peters', 'Prospero', 'Twelfth', 'Twelfth Night', 'Uncle', 'Ariel', 'Brussels', 'CHE', 'Caliban', 'Coppino', 'Emily', 'Gedney House', 'Howard Pyle', 'Irish', 'Jerkins', 'Jerry Hanlon', 'July', 'Katie', 'Lincoln', 'Luanda', 'Milan', 'Miss', 'Miss Peters', 'Mr. William', 'Naples', 'Narragansett', 'Peter', 'Robin Hood', 'Roman', 'Rutk', 'Sebastian', 'Shakespeare', 'Sherwood Forest', 'Sybil', 'Tony', 'Tony Coppino', 'Uncle Earle She', 'Virginia', 'William Shakespeare']","[27, 24, 7, 6, 5, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
