filename,tokencount,nercount
e8be9c7cf7fd93ff914d00ab09e8a513.txt,1463,45
39ac237d48e7b85c6e1dffa1295f2b3b.txt,3501,81
909d99cb994c15123becb03c9911bb66.txt,2126,37
b3d1f2ea9e96150dcdceb9dd151932eb.txt,1659,50
d778f54a94898bd9730dfb6ba5e22c7b.txt,3204,106
4a1e6cff368428646ce75a2214f51a06.txt,3015,68
2536bf8328077b9214e338500bcc5ddb.txt,1972,22
f5b8d73c7102c1cc2cd3b2bc727cb53d.txt,2623,74
e64cc48f7734a0b9a68f22d10e93c2b4.txt,5644,65
e6a3f571036cb39395e898cdadf69e2e.txt,1927,23
96a862c8267c7e41f41fbcbebb394be7.txt,1820,29
b277995a7b46ddbbe0d1090b88961d75.txt,2474,37
acc84ebdecadaf17dfb708f33e38fb32.txt,4130,47
bd5895d6e11bd661afa9b8ba228e4e17.txt,283,4
ddfc85626ca8c2c7c5358ccdc90aedc9.txt,316,8
4b108d31767cbc989217c185946cd447.txt,2393,50
739329c32467f1d81d1ff7629a2502a1.txt,1171,19
c2c900366d5e4bb8898548c2fd9149c0.txt,237,6
4c7c78f489e9ae6cf86f1695e44ca6d2.txt,1306,18
ae724c9831a6621d46d37b6c2f5a419f.txt,3715,86
59cf960e3a61eb9398b231da4c94c864.txt,1407,40
e6b3d593a872150ba51153d8ea1629d6.txt,375,7
b59167d29bdcd7ac5a8b856740c0e5cf.txt,2502,58
cb5b8f541b0ad0da7afdcda8ab720fc4.txt,938,24
f5f0145e2e5f145b2afab0d5a0ffbdd3.txt,2552,75
763f9219e68e81149fea9f427c6d21a5.txt,1555,5
727b413aeb4eeb8b6de892745e3310ea.txt,1343,30
4eb3033ccba68e99ca0489eab1df235d.txt,1769,32
82014dac37f58c2bee018d4272423c4d.txt,3443,46
10b81ca275b6faf320584338b995c7e2.txt,705,19
f10783e5917590cab536e250e10f21be.txt,2074,50
1761f118a61a1bf1b4ebe70a10eb7d1d.txt,2355,8
541b01ddfe6c189ccc5f30797a8e4514.txt,1667,13
13c0a02b5400cae450d78099f48ecf0c.txt,3583,77
218b05e2abdfb259427c05831315dd9f.txt,1251,17
5d5d426c3d13e34ced5e9207fa314c19.txt,1731,46
03af2c38bc44e5c3aaedbc55f7a52b71.txt,825,9
c5cb994bc1ffee4e9bd156202d103238.txt,1151,21
a78f3a2fdaf43bd8430b40d5419c43c5.txt,2212,24
6019e0dcf73a823cfbc84c222525f028.txt,345,5
9864c3d94f750745f883f44b6b5d7318.txt,2742,52
928283c56e15d00d8a2de27d35675a57.txt,1371,50
45d46ef0ff24eea5ab41d2697f0727fe.txt,1521,29
f0b1719599f26ebca3ceee7c95caa5c2.txt,3410,64
07e2ee2455709e797da3bc5a3396f2be.txt,851,26
63f295923a7b4f6c1b6174385c73db74.txt,1935,44
131880121636b579e9a422bfbfe664e1.txt,3902,73
c7474db9d78243a4e0fcd49062e3afe4.txt,3641,87
32e09572ffc9801c00c551a00ba927f3.txt,688,13
d015583d1360e4a8906a7288e1141961.txt,1333,15
0a74ecf038953cd7748495199e8bd9d0.txt,837,13
ea0ab504071645e1b8e73c1d282398f6.txt,3804,120
0888555f9a58f7fedd0b0aee1f896fe3.txt,1656,48
e3c8c40a9f1311031bdcbbe15282bd88.txt,1572,52
c67b09cb32602cf922516cfbee0f625c.txt,2509,62
3c1e35eb90387fd882fc7d452e1fbd18.txt,3784,108
1f0749f304e9b37e95dfb0266267b4bd.txt,1339,22
e43117b506a1555f671b63aad52dfc1e.txt,1128,17
2b451186b6efb14e4dac557594bf118f.txt,1984,56
5c5844a96115ffa6e5f0067b55d3ff02.txt,331,8
ceaa484ddc173fdcf999395f8cf3727d.txt,1045,16
77676557fcdd158e86a1a246e39b93e3.txt,690,8
36f0a72b44b55f6176ccf52984990395.txt,2132,53
155640e4cba26063a79e10fd676fb455.txt,1511,9
e76a6afd35774d3e6cefd21f66efa8da.txt,2381,47
24aa658de6a59bd6be6fc0373b61434d.txt,1223,22
4c79b4c285eafcb656d0d242b2762715.txt,2034,57
b674fe4a3566edd324c96c31c6e8204a.txt,1824,59
a53f829d3ab3b0defb66071b660bd247.txt,4116,79
82583b1ce34fceb24bf2c446f8118399.txt,312,4
b78b60f5b6d6ce7e544497d5330d2bb6.txt,1759,34
c67d896ca54aefac7ac6471734a0a295.txt,522,16
474175dfb56f258dfeb41623abf9c219.txt,1799,41
029c9f0de08494bb495a7f1e2be7a051.txt,293,7
feb0e3fd4f6bdafdee4dc9be70e9a9f4.txt,3371,64
be9f2fc783c9e7c0dbec50a4893edcb9.txt,3195,82
37b879a2106492be5c9be58191280834.txt,704,14
1353dafe1d742a8f5f88151e0bd59ba4.txt,1224,24
19ddc2125bfc5399f036b7f8fad453ff.txt,4055,85
3e1f83dcd2c36563250af5e451d6225a.txt,1960,18
097ea1dcd7b379d1f93905b4047c9295.txt,2175,49
997ad56b32c6d712f50834b6fb33f221.txt,1341,30
6ae33a39c2a2f0934661b0598a78fbe4.txt,1760,18
3e28774ccdce7f00bb9667baee67ea68.txt,2117,38
96c4bcce95765b92b9f3073debf767b6.txt,988,14
9898126d9572ed2cb81718c1f098ba80.txt,2455,47
cea9a6bff4d4b7bc3a532bf0b4a76a11.txt,1535,28
24b2d0a82e9eb8b37f540e5927eb5e18.txt,2377,63
