name,freq
Gedney House,12
General Washington,12
Grange,12
Gussie Burke,12
Home,12
Jacob,12
Jane Gregory,12
Jasper,12
John Keigley,12
Joseph,12
Kay,12
Las Ombras,12
Lily Gilbert,12
Little Brother,12
Lydia,12
Manolo,12
Marion,12
Mister,12
Mollie,12
Molly Hen,12
Moosehead,12
Mr. Keigley,12
Mr. Vernon,12
Muriel,12
Nell Collins,12
Nubbin,12
Ogilvie,12
Oklahoma,12
Pardon,12
Part,12
Pennsylvania,12
Plow,12
Pony,12
Port,12
Purvis,12
Red Cross,12
Rhodes,12
Roger Bascom,12
Sioux,12
Swallow,12
Tad Mason,12
Texas,12
Tige,12
Timothy,12
Tommy White,12
Uncle Jack,12
Uncle Sammy,12
Vic,12
Walker,12
Abel,11
Aunt Becky,11
Baptist,11
Blanchard Dana,11
Blossomy Cottage,11
Board,11
Bonnie,11
Brenda,11
Bugs,11
Collins,11
Cramer,11
Cynthia,11
ENOS,11
Farm,11
Florence,11
Francois Legrand,11
Girl,11
Gordon Birnie,11
Green,11
High,11
Holcomb,11
House,11
III,11
Jay,11
Jennings,11
Junior Invincibles,11
Kentucky,11
LIE,11
Laddie,11
Lake,11
Lovejoy,11
Master Crabtree,11
Mattie Crosby,11
Mazle,11
Mill Run,11
Missouri,11
Morris,11
Mr. Donaghue,11
Mummy,11
Newell,11
Nicodemus,11
Nilwan,11
Olivia,11
Orange,11
PAWN,11
Paradise,11
Patsy,11
Peggy Herford,11
Penelope,11
Philip,11
Princess,11
Rand Martin,11
Rutherford,11
Scarlet,11
Schneider,11
Shady Valley,11
Shaw,11
Stephen May,11
Steve Aylesworth,11
Sylvia Shaw,11
Tom Truscott,11
Yancey,11
Aaron Dudley,10
April,10
Arthur,10
Aunt Irene,10
BETTY,10
Beard,10
Benard,10
Bobby Campbell,10
Broadway,10
Brooke,10
Bruce,10
Burton,10
Cal Rutherford,10
Castleton,10
Charley Kemp,10
Chinese,10
Colonel Bruce,10
Denby Coleman,10
Dolly,10
Don,10
Dream,10
Easter,10
Edie,10
Evans,10
GRIFFEE,10
Gamle Moer,10
Georgia,10
Giovanni,10
Gray,10
Hudson,10
Huntley,10
JEAN,10
James Alden,10
Jamie,10
Jericho,10
Jim Bowman,10
John Blake,10
John Endicott,10
John Massey,10
Judy,10
Julian Bentley,10
Kathleen,10
Ken,10
Kid,10
Land Army,10
Littleton,10
Major Greaves,10
March,10
Margaret North,10
McLane,10
Melbourne,10
Meredith,10
Millar,10
Miss Agatha,10
Miss Lucia,10
Miss Phelps,10
Mr. Cronk,10
Mr. Gilbert,10
Mr. May,10
Mr. Spangler,10
Mystery House,10
Nesterville,10
Oklahoma Realty Company,10
Oshlmo,10
PARSONAGE,10
Paul Zotoff,10
Penreddy,10
Peter Langdon,10
Phoebe,10
Pine Grove,10
Pollard,10
Porter,10
Prudence,10
Richard Roe,10
Rome,10
Rosalie Dana,10
Ryland,10
Sea,10
Sentinel,10
Sheriff,10
Sidney Palm,10
Silver Fox,10
Stanley Parkhouse,10
Steady,10
Tell,10
Tempest,10
Thy,10
Trail,10
Turkey,10
Uncle Harry,10
Wales,10
Almighty,9
Argyle,9
Arkansas,9
Arthur Porter,9
Aunt Ellen,9
Aunt Narcisse,9
BROWN,9
Bank,9
Belinda,9
Blakeney,9
Blue Ridge,9
Bobwhite,9
Burkes,9
CAL,9
Church,9
Clarks,9
Clay,9
Colorado,9
Congress,9
DONAGHUE,9
Dakota,9
Darius,9
Donovans,9
Eastern,9
Emmie,9
Fair,9
Fairwold,9
Farmers,9
For,9
Genjiro,9
Germany,9
Gladsome,9
Glass Houses,9
Grampa,9
Greenvale,9
Hamilton,9
Harry Doe,9
Hazelton,9
